Hour,Stock,Percentage Change
2022-06-15 13:15:59.919310,BTC-USD,1.6944359239281264
2022-06-15 11:15:59.919310,BTC-USD,1.6944359239281264
2022-06-15 10:15:59.919310,BTC-USD,1.6944359239281264
2022-06-15 08:15:59.919310,BTC-USD,1.6944359239281264
2022-06-15 07:15:59.919310,BTC-USD,1.6944359239281264
2022-06-15 06:15:59.919310,BTC-USD,1.6944359239281264
2022-06-15 05:15:59.919310,BTC-USD,1.6944359239281264
2022-06-15 04:15:59.919310,BTC-USD,1.6944359239281264
2022-06-15 03:15:59.919310,BTC-USD,1.6944359239281264
2022-06-15 01:15:59.919310,BTC-USD,1.6944359239281264
2022-06-15 00:15:59.919310,BTC-USD,1.6944359239281264
2022-06-14 23:15:59.919310,BTC-USD,-1.2504159121767187
2022-06-14 22:15:59.919310,BTC-USD,-1.2504159121767187
2022-06-14 21:15:59.919310,BTC-USD,-1.2504159121767187
2022-06-14 20:15:59.919310,BTC-USD,-1.2504159121767187
2022-06-14 19:15:59.919310,BTC-USD,-1.2504159121767187
2022-06-14 15:15:59.919310,BTC-USD,-1.2504159121767187
2022-06-14 11:15:59.919310,BTC-USD,-1.2504159121767187
2022-06-14 10:15:59.919310,BTC-USD,-1.2504159121767187
2022-06-14 08:15:59.919310,BTC-USD,-1.2504159121767187
2022-06-14 05:15:59.919310,BTC-USD,-1.2504159121767187
2022-06-14 04:15:59.919310,BTC-USD,-1.2504159121767187
2022-06-14 02:15:59.919310,BTC-USD,-1.2504159121767187
2022-06-13 22:15:59.919310,BTC-USD,-15.895940287692007
2022-06-13 18:15:59.919310,BTC-USD,-15.895940287692007
2022-06-13 13:15:59.919310,BTC-USD,-15.895940287692007
2022-06-13 08:15:59.919310,BTC-USD,-15.895940287692007
2022-06-13 03:15:59.919310,BTC-USD,-15.895940287692007
2022-06-12 22:15:59.919310,BTC-USD,-5.677355483722681
2022-06-12 21:15:59.919310,BTC-USD,-5.677355483722681
2022-06-12 15:15:59.919310,BTC-USD,-5.677355483722681
2022-06-12 14:15:59.919310,BTC-USD,-5.677355483722681
2022-06-12 07:15:59.919310,BTC-USD,-5.677355483722681
2022-06-12 05:15:59.919310,BTC-USD,-5.677355483722681
2022-06-12 01:15:59.919310,BTC-USD,-5.677355483722681
2022-06-12 00:15:59.919310,BTC-USD,-5.677355483722681
2022-06-11 23:15:59.919310,BTC-USD,-2.488787281796968
2022-06-11 18:15:59.919310,BTC-USD,-2.488787281796968
2022-06-11 15:15:59.919310,BTC-USD,-2.488787281796968
2022-06-11 13:15:59.919310,BTC-USD,-2.488787281796968
2022-06-11 09:15:59.919310,BTC-USD,-2.488787281796968
2022-06-11 07:15:59.919310,BTC-USD,-2.488787281796968
2022-06-11 06:15:59.919310,BTC-USD,-2.488787281796968
2022-06-11 05:15:59.919310,BTC-USD,-2.488787281796968
2022-06-11 04:15:59.919310,BTC-USD,-2.488787281796968
2022-06-11 02:15:59.919310,BTC-USD,-2.488787281796968
2022-06-11 00:15:59.919310,BTC-USD,-2.488787281796968
2022-06-10 21:15:59.919310,BTC-USD,-3.4092133429343088
2022-06-10 18:15:59.919310,BTC-USD,-3.4092133429343088
2022-06-10 15:15:59.919310,BTC-USD,-3.4092133429343088
2022-06-10 13:15:59.919310,BTC-USD,-3.4092133429343088
2022-06-10 12:15:59.919310,BTC-USD,-3.4092133429343088
2022-06-10 11:15:59.919310,BTC-USD,-3.4092133429343088
2022-06-10 08:15:59.919310,BTC-USD,-3.4092133429343088
2022-06-10 07:15:59.919310,BTC-USD,-3.4092133429343088
2022-06-10 06:15:59.919310,BTC-USD,-3.4092133429343088
2022-06-10 00:15:59.919310,BTC-USD,-3.4092133429343088
2022-06-09 22:15:59.919310,BTC-USD,-0.34181795569462703
2022-06-09 21:15:59.919310,BTC-USD,-0.34181795569462703
2022-06-09 20:15:59.919310,BTC-USD,-0.34181795569462703
2022-06-09 19:15:59.919310,BTC-USD,-0.34181795569462703
2022-06-09 17:15:59.919310,BTC-USD,-0.34181795569462703
